County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percent Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68049,129221,55,55,3,ELA,*,*,*,*,*,*,*,*,*
37,68049,129221,55,55,8,ELA,13,12,2542.8,16.67,16.67,33.33,41.67,25,12
37,68049,129221,55,55,11,ELA,*,*,*,*,*,*,*,*,*
37,76851,129320,52,52,11,ELA,57,52,2610,25,44.23,69.23,13.46,17.31,52
37,68338,129387,44,44,3,ELA,*,*,*,*,*,*,*,*,*
37,68338,129395,93,93,3,ELA,25,25,2533.9,76,16,92,4,4,25
37,68213,129668,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68213,129668,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,67983,131144,67,67,11,ELA,83,67,2492,5.97,10.45,16.42,29.85,53.73,67
37,68049,131169,92,92,3,ELA,*,*,*,*,*,*,*,*,*
37,68049,131169,92,92,8,ELA,24,17,2449.8,0,17.65,17.65,11.76,70.59,17
37,68049,131169,92,92,11,ELA,32,19,2503.9,5.26,31.58,36.84,15.79,47.37,19
37,68304,131250,106,106,3,ELA,13,13,2488.4,46.15,38.46,84.62,15.38,0,13
37,68304,131250,106,106,8,ELA,25,22,2602.8,22.73,40.91,63.64,27.27,9.09,22
37,68304,131250,106,106,11,ELA,29,24,2633.3,37.5,29.17,66.67,16.67,16.67,24
37,68304,131268,140,140,3,ELA,33,33,2430.4,21.21,33.33,54.55,24.24,21.21,33
37,73791,131433,603,603,3,ELA,133,132,2468.2,44.7,26.52,71.21,15.91,12.88,132
37,68338,131565,207,207,3,ELA,61,60,2457.7,30,38.33,68.33,18.33,13.33,60
37,68346,131649,624,624,8,ELA,289,287,2654.7,50.52,34.49,85.02,11.85,3.14,287
37,68114,131920,325,325,3,ELA,82,82,2415,19.51,21.95,41.46,32.93,25.61,82
37,68338,131979,65,65,8,ELA,20,18,2470.9,0,16.67,16.67,27.78,55.56,18
37,68338,131979,65,65,11,ELA,41,33,2509.1,6.06,18.18,24.24,24.24,51.52,33
37,68197,132290,1029,1029,8,ELA,321,313,2592.6,20.45,43.45,63.9,24.92,11.18,313
37,68338,132316,229,229,3,ELA,87,83,2476.1,49.4,18.07,67.47,19.28,13.25,83
37,68197,132431,899,899,8,ELA,263,256,2551.5,10.55,32.81,43.36,29.69,26.95,256
37,75416,132472,668,668,3,ELA,125,98,2399,15.31,22.45,37.76,29.59,32.65,98
37,75416,132472,668,668,8,ELA,92,78,2583.3,15.38,39.74,55.13,33.33,11.54,78
37,75416,132472,668,668,11,ELA,79,61,2598,26.23,29.51,55.74,26.23,18.03,61
37,68049,132506,1347,1343,3,ELA,302,248,2393.1,14.11,19.35,33.47,29.84,36.69,248
37,68049,132506,1347,1343,8,ELA,222,191,2542.2,12.04,27.75,39.79,30.89,29.32,191
37,68049,132506,1347,1343,11,ELA,106,84,2557.3,19.05,22.62,41.67,26.19,32.14,84
37,68130,132548,52,52,11,ELA,53,52,2563.6,13.46,26.92,40.38,34.62,25,52
37,68221,132621,67,67,3,ELA,13,12,2375.3,8.33,16.67,25,33.33,41.67,12
37,68221,132621,67,67,8,ELA,*,*,*,*,*,*,*,*,*
37,76851,132886,201,201,3,ELA,36,36,2454.2,44.44,19.44,63.89,16.67,19.44,36
37,76851,132886,201,201,8,ELA,26,24,2581.8,25,37.5,62.5,12.5,25,24
37,76851,132886,201,201,11,ELA,47,42,2496.8,11.9,9.52,21.43,19.05,59.52,42
37,68197,132951,17,17,3,ELA,*,*,*,*,*,*,*,*,*
37,68197,132951,17,17,8,ELA,*,*,*,*,*,*,*,*,*
37,68098,133991,140,140,3,ELA,29,29,2381.1,3.45,31.03,34.48,31.03,34.48,29
37,68197,134155,726,725,8,ELA,241,231,2531.2,6.06,26.84,32.9,36.36,30.74,231
37,76901,134429,194,194,3,ELA,50,49,2409.6,22.45,18.37,40.82,22.45,36.73,49
37,76901,134429,194,194,8,ELA,25,22,2532.3,4.55,36.36,40.91,27.27,31.82,22
37,77032,134577,97,97,3,ELA,*,*,*,*,*,*,*,*,*
37,77032,134577,97,97,8,ELA,33,30,2542.3,6.67,40,46.67,26.67,26.67,30
37,77032,134577,97,97,11,ELA,53,51,2629.1,29.41,47.06,76.47,15.69,7.84,51
37,67983,134890,16,16,11,ELA,40,16,2465.8,0,0,0,50,50,16
37,73551,3730017,48,47,11,ELA,51,48,2532.8,4.26,17.02,21.28,53.19,25.53,47
37,68346,3730033,577,577,11,ELA,587,577,2630,38.82,29.46,68.28,17.85,13.86,577
37,68106,3730058,539,537,11,ELA,556,539,2608.2,26.63,36.87,63.5,20.3,16.2,537
37,68130,3730066,523,523,11,ELA,546,523,2635.1,40.92,32.89,73.8,13.19,13,523
37,68296,3730074,454,453,11,ELA,470,454,2654,44.81,34.88,79.69,12.36,7.95,453
37,68338,3730116,185,185,3,ELA,*,*,*,*,*,*,*,*,*
37,68338,3730116,185,185,8,ELA,32,31,2601.3,35.48,19.35,54.84,29.03,16.13,31
37,68338,3730116,185,185,11,ELA,*,*,*,*,*,*,*,*,*
37,68411,3730124,464,455,11,ELA,481,464,2537.2,11.65,24.62,36.26,27.25,36.48,455
37,68338,3730173,398,398,11,ELA,408,398,2628.3,33.42,36.68,70.1,19.1,10.8,398
37,68338,3730181,506,506,11,ELA,529,506,2668.8,47.43,37.75,85.18,11.86,2.96,506
37,73791,3730215,76,76,11,ELA,77,76,2520.3,2.63,19.74,22.37,46.05,31.58,76
37,68338,3730231,145,145,11,ELA,170,145,2496.5,5.52,15.17,20.69,22.76,56.55,145
37,68338,3730314,445,445,11,ELA,459,445,2683.4,59.33,24.27,83.6,11.01,5.39,445
37,68338,3730363,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68338,3730363,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68338,3730371,794,792,8,ELA,196,195,2575.5,24.1,30.26,54.36,23.59,22.05,195
37,68338,3730371,794,792,11,ELA,187,182,2657,43.09,38.12,81.22,13.81,4.97,181
37,68411,3730405,552,551,11,ELA,562,552,2644.2,38.29,39.56,77.86,16.7,5.44,551
37,67983,3730447,36,36,11,ELA,39,36,2603.7,27.78,33.33,61.11,22.22,16.67,36
37,73551,3730694,501,500,11,ELA,561,501,2632.2,31.6,40.4,72,18.4,9.6,500
37,68130,3730702,399,399,11,ELA,421,399,2665.4,50.38,31.58,81.95,10.53,7.52,399
37,68452,3730728,505,505,11,ELA,509,505,2638.6,33.27,44.36,77.62,16.04,6.34,505
37,68338,3730751,95,95,3,ELA,*,*,*,*,*,*,*,*,*
