County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68049,131169,90,90,3,MATH,*,*,*,*,*,*,*,*,*
37,68049,131169,90,90,8,MATH,24,17,2395.2,0,0,0,5.88,94.12,17
37,68049,131169,90,90,11,MATH,32,19,2427.9,0,0,0,0,100,19
37,68304,131250,106,106,3,MATH,13,13,2475,23.08,46.15,69.23,23.08,7.69,13
37,68304,131250,106,106,8,MATH,25,20,2589.2,30,15,45,25,30,20
37,68304,131250,106,106,11,MATH,29,26,2652.9,23.08,42.31,65.38,19.23,15.38,26
37,68304,131268,140,140,3,MATH,33,33,2434.1,15.15,33.33,48.48,33.33,18.18,33
37,73791,131433,603,587,3,MATH,133,132,2470,38.1,33.33,71.43,15.08,13.49,126
37,68338,131565,209,209,3,MATH,61,61,2455.1,26.23,42.62,68.85,14.75,16.39,61
37,68346,131649,623,623,8,MATH,289,287,2681.6,63.41,16.72,80.14,12.54,7.32,287
37,68114,131920,331,331,3,MATH,82,82,2433.4,10.98,31.71,42.68,41.46,15.85,82
37,68338,131979,68,68,8,MATH,20,18,2441.6,5.56,5.56,11.11,16.67,72.22,18
37,68338,131979,68,68,11,MATH,41,35,2476.7,0,2.86,2.86,17.14,80,35
37,68197,132290,1020,1020,8,MATH,321,307,2568.2,19.54,25.41,44.95,31.6,23.45,307
37,68338,132316,234,234,3,MATH,87,85,2500.4,52.94,23.53,76.47,17.65,5.88,85
37,68197,132431,905,905,8,MATH,261,254,2586.2,33.46,20.47,53.94,22.05,24.02,254
37,75416,132472,673,673,3,MATH,125,98,2403.9,11.22,26.53,37.76,20.41,41.84,98
37,75416,132472,673,673,8,MATH,92,79,2540.7,12.66,13.92,26.58,40.51,32.91,79
37,75416,132472,673,673,11,MATH,79,63,2525.8,6.35,9.52,15.87,22.22,61.9,63
37,68049,132506,1339,1336,3,MATH,302,243,2385,7.02,19.01,26.03,25.62,48.35,242
37,68049,132506,1339,1336,8,MATH,222,189,2499.7,5.29,15.34,20.63,26.98,52.38,189
37,68049,132506,1339,1336,11,MATH,106,82,2482.1,1.23,3.7,4.94,20.99,74.07,81
37,68130,132548,52,52,11,MATH,53,52,2501.3,1.92,7.69,9.62,23.08,67.31,52
37,68221,132621,68,68,3,MATH,13,12,2394.9,0,16.67,16.67,58.33,25,12
37,68221,132621,68,68,8,MATH,*,*,*,*,*,*,*,*,*
37,76851,132886,201,201,3,MATH,36,36,2428.5,25,16.67,41.67,27.78,30.56,36
37,76851,132886,201,201,8,MATH,26,24,2546.3,29.17,12.5,41.67,16.67,41.67,24
37,76851,132886,201,201,11,MATH,47,42,2432.4,0,2.38,2.38,11.9,85.71,42
37,68197,132951,17,17,3,MATH,*,*,*,*,*,*,*,*,*
37,68197,132951,17,17,8,MATH,*,*,*,*,*,*,*,*,*
37,68098,133991,143,142,3,MATH,29,29,2416.8,13.79,20.69,34.48,37.93,27.59,29
37,68197,134155,736,736,8,MATH,241,236,2507.9,10.59,12.29,22.88,27.12,50,236
37,76901,134429,194,194,3,MATH,50,49,2403.8,12.24,20.41,32.65,26.53,40.82,49
37,76901,134429,194,194,8,MATH,25,22,2498.7,9.09,4.55,13.64,27.27,59.09,22
37,77032,134577,98,98,3,MATH,*,*,*,*,*,*,*,*,*
37,77032,134577,98,98,8,MATH,33,31,2493.4,6.45,9.68,16.13,22.58,61.29,31
37,77032,134577,98,98,11,MATH,52,51,2566.7,5.88,17.65,23.53,35.29,41.18,51
37,67983,134890,17,17,11,MATH,40,17,2407.6,0,0,0,5.88,94.12,17
37,73551,3730017,46,46,11,MATH,51,46,2507.5,0,6.52,6.52,21.74,71.74,46
37,68346,3730033,577,577,11,MATH,587,577,2648.3,31.2,25.48,56.67,24.09,19.24,577
37,68106,3730058,539,539,11,MATH,556,539,2570,13.91,18,31.91,26.53,41.56,539
37,68130,3730066,530,530,11,MATH,546,530,2609.1,16.98,31.13,48.11,24.34,27.55,530
37,68296,3730074,452,451,11,MATH,470,452,2636.4,27.72,29.05,56.76,20.62,22.62,451
37,68338,3730116,185,185,3,MATH,*,*,*,*,*,*,*,*,*
37,68338,3730116,185,185,8,MATH,32,31,2564.2,22.58,19.35,41.94,25.81,32.26,31
37,68338,3730116,185,185,11,MATH,*,*,*,*,*,*,*,*,*
37,68411,3730124,463,459,11,MATH,480,463,2514.7,1.74,14.38,16.12,23.75,60.13,459
37,68338,3730173,397,396,11,MATH,407,397,2597.1,18.69,21.21,39.9,24.75,35.35,396
37,68338,3730181,515,515,11,MATH,529,515,2641.5,28.74,25.44,54.17,25.44,20.39,515
37,73791,3730215,74,74,11,MATH,77,74,2450,0,1.35,1.35,10.81,87.84,74
37,68338,3730231,144,144,11,MATH,169,144,2444.6,0,3.47,3.47,6.25,90.28,144
37,68338,3730314,445,445,11,MATH,459,445,2650.3,33.71,25.17,58.88,22.02,19.1,445
37,68338,3730363,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68338,3730363,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68338,3730371,788,787,8,MATH,196,195,2527.1,14.36,14.87,29.23,25.13,45.64,195
